municipality,county,population,Allow Consumption Site,area,nhcs,notes,type,x1,x2,labels,zip,,AD,,
Albany,Albany,"99,224",Yes,56,3,WTEN reporting,City,Albany,3,1,,,Yes,,
Altamont,Albany,"1,683",No,3,3,Decision as of: 10/5/2021,Village,Allegany,6,0,,,No,,
Berne,Albany,"2,771",Yes,168,3,Correspondence with Town,Town,Bronx  ,1,1,,,Yes,,
Bethlehem,Albany,"35,093",No,128,3,Correspondence with Town,Town,Broome,4,0,,,No,,
Coeymans,Albany,"7,308",No,138,3,Decision as of: 11/22/2021,Town,Cattaraugus,5,1,,,Yes,,
Cohoes,Albany,"16,655",Yes,11,3,Correspondence with City,City,Cayuga,5,1,,,Yes,,#N/A
Colonie,Albany,"83,194",No,150,3,Decision as of: 9/9/2021 (on-site consumption only),Town,Chautauqua,5,1,,,Yes,,
Colonie,Albany,"83,194",No,150,3,Decision as of: 12/6/2021 (on-site consumption),Village,Chemung,4,1,,,Yes,,
Green Island,Albany,"2,576",No,2,3,Decision as of: 12/20/2021 (on-site consumption) (coterminous with Village),Town,Chenango,6,1,,,Yes,,
Green Island,Albany,"2,576",No,2,3,Decision as of: 12/20/2021 (on-site consumption) (coterminous with Town),Village,Clinton,5,1,,,Yes,,
Guilderland,Albany,"35,752",No,152,3,Decision as of: 10/19/2021; Dispensary opt-out reversed 4/5/2022,Town,Columbia,5,1,,,Yes,,
Knox,Albany,"2,681",Yes,109,3,Correspondence with Town,Town,Cortland,5,1,,,Yes,,
Menands,Albany,"3,897",No,9,3,Decision as of: 9/27/2021 (on-site consumption only),Village,Delaware,6,1,,,Yes,,
New Scotland,Albany,"8,688",Yes,151,3,Correspondence with Town,Town,Dutchess,2,1,,,Yes,,
Ravena,Albany,"3,197",No,3,3,Decision as of: 11/16/2021 (on-site consumption only); Decision on dispensaries expected: 12/17/2021,Village,Erie,1,1,,,Yes,,
Rensselaerville,Albany,"1,826",No,160,3,Decision as of: 11/10/2021,Town,Essex,6,0,,,No,,
Voorheesville,Albany,"2,788",No,5,3,Decision as of: 12/21/2021,Village,Franklin,5,0,,,No,,
Watervliet,Albany,"10,375",No,4,3,Decision as of: 10/21/2021,City,Fulton,5,0,,,No,,
Westerlo,Albany,"3,308",No,152,3,Decision as of: 12/7/2021,Town,Genesee,5,0,,,No,,
Alfred,Allegany,"5,013",No,82,6,Decision as of: 12/9/2021,Town,Greene,6,1,,,Yes,,
Alfred,Allegany,"4,008",Yes,3,6,Correspondence with Village,Village,Hamilton,6,1,,,Yes,,
Allen,Allegany,432,Yes,95,6,Correspondence with Town,Town,Herkimer,3,1,,,Yes,,
Alta,Allegany,"15,342",No,9,6,Decision as of: 12/28/2021,Town,Jefferson,4,0,,,No,,
Almond,Allegany,"1,537",Yes,119,6,Correspondence with Town,Town,Kings,1,1,,,Yes,,
Almond,Allegany,"1,537",Yes,119,6,Correspondence with Village; also located in Steuben County,Village,Lewis,6,1,,,Yes,,
Amity,Allegany,"2,188",No,90,6,Decision as of: 12/13/2021,Town,Livingston,2,0,,,No,,
Andover,Allegany,"1,729",No,102,6,Decision as of: 10/12/2021,Town,Madison,3,0,,,No,,
Andover,Allegany,"1,729",Yes,102,6,Correspondence with Village,Village,Monroe,1,1,,,Yes,,
Angelica,Allegany,"1,353",No,94,6,Decision as of: 11/8/2021,Town,Montgomery,5,0,,,No,,
Angelica,Allegany,824,No,6,6,Decision as of: 11/9/2021,Village,Nassau,2,0,,,No,,
Belfast,Allegany,"1,616",No,95,6,Decision as of: 11/4/2021,Town,New York,1,0,,,No,,
