,Albany,Allegany,Bronx,Broome,Cattaraugus,Cayuga,Chautauqua,Chemung,Chenango,Clinton,Columbia,Cortland,Delaware,Dutchess,Erie,Essex,Franklin,Fulton,Genesee,Greene,Hamilton,Herkimer,Jefferson,Kings,Lewis,Livingston,Madison,Monroe,Montgomery,Nassau,New York,Niagara,Oneida,Onondaga,Ontario,Orange,Orleans,Oswego,Otsego,Putnam,Queens,Rensselaer,Richmond,Rockland,Saratoga,Schenectady,Schoharie,Schuyler,Seneca,Steuben,St. Lawrence,Suffolk,Sullivan,Tioga,Tompkins,Ulster,Warren,Washington,Wayne,Westchester,Wyoming,Yates
0,12007,14024,10451,13730,14009,13021,14048,14805,13040,12901,12017,13040,12093,10516,14001,12836,12912,12010,14001,12015,12032,13304,13083,11201,13305,14414,13030,14410,12010,11001,10001,14001,13032,13020,14424,10910,14058,13028,12036,10509,11001,12018,10301,10901,12010,12008,12023,14805,13065,14418,12914,501,10940,13732,13045,12401,12801,12028,13143,10470,14004,14415
1,12009,14029,10452,13736,14030,13022,14062,14812,13052,12903,12024,13045,12155,12501,14004,12851,12913,12025,14004,12042,12108,13322,13145,11202,13309,14423,13032,14414,12016,11002,10002,14008,13042,13027,14425,10912,14098,13036,12043,10512,11004,12022,10302,10911,12019,12009,12031,14812,13146,14437,12922,544,12428,13734,13053,12402,12804,12057,13146,10501,14009,14418
2,12023,14060,10453,13737,14041,13024,14063,14814,13072,12910,12029,13052,12167,12504,14006,12852,12914,12032,14005,12046,12134,13324,13601,11203,13312,14435,13035,14416,12066,11003,10003,14012,13054,13029,14432,10914,14103,13042,12064,10516,11005,12028,10303,10913,12020,12019,12035,14815,13148,14512,12927,6390,12458,13736,13062,12404,12808,12154,13148,10502,14011,14441
3,12041,14065,10454,13744,14042,13026,14081,14816,13124,12911,12037,13053,12406,12506,14010,12853,12915,12068,14011,12051,12139,13329,13602,11204,13316,14437,13037,14420,12068,11010,10004,14028,13123,13030,14443,10915,14105,13044,12116,10524,11040,12033,10304,10920,12025,12027,12036,14818,13165,14529,12930,11701,12566,13743,13068,12406,12810,12185,13154,10503,14024,14456
4,12045,14437,10455,13745,14060,13027,14135,14824,13136,12912,12050,13056,12421,12507,14013,12855,12916,12070,14013,12058,12164,13331,13603,11205,13325,14454,13043,14428,12069,11020,10005,14032,13157,13031,14453,10916,14125,13069,12149,10537,11096,12040,10305,10923,12027,12053,12043,14824,14433,14572,12949,11702,12701,13760,13073,12409,12811,12804,13156,10504,14030,14478
5,12046,14536,10456,13746,14065,13033,14136,14825,13155,12918,12060,13077,12430,12508,14025,12857,12917,12078,14020,12083,12190,13338,13605,11206,13327,14462,13052,14430,12070,11021,10006,14067,13162,13035,14456,10917,14411,13074,12155,10541,11101,12052,10306,10927,12065,12056,12053,14837,14456,14801,12957,11703,12719,13811,13092,12410,12814,12809,14413,10505,14037,14507
6,12047,14707,10457,13748,14070,13034,14138,14830,13332,12919,12062,13087,12434,12510,14026,12858,12920,12086,14021,12087,12812,13339,13606,11207,13343,14466,13061,14445,12072,11022,10007,14092,13301,13036,14461,10918,14416,13076,12197,10542,11102,12057,10307,10931,12074,12066,12064,14838,14489,14803,12965,11704,12720,13812,13102,12411,12815,12816,14432,10506,14039,14512
7,12053,14708,10458,13749,14081,13045,14166,14838,13411,12920,12075,13101,12438,12511,14027,12870,12926,12095,14036,12124,12842,13340,13607,11208,13345,14472,13072,14450,12086,11023,10008,14094,13303,13037,14463,10919,14420,13083,13315,10560,11103,12061,10308,10952,12086,12137,12066,14840,14521,14806,12967,11705,12721,13827,13736,12412,12817,12819,14433,10507,14040,14527
8,12054,14709,10459,13754,14101,13064,14701,14845,13460,12921,12106,13141,12455,12512,14030,12872,12930,12117,14040,12143,12847,13350,13608,11209,13367,14480,13082,14464,12095,11024,10009,14095,13304,13039,14466,10921,14422,13093,13317,10579,11104,12062,10309,10954,12118,12141,12071,14841,14532,14807,12973,11706,12722,13835,13864,12414,12820,12821,14449,10509,14054,14544
9,12055,14711,10460,13760,14129,13071,14702,14859,13464,12923,12115,13158,12459,12514,14031,12879,12937,12134,14054,12176,12864,13357,13611,11210,13368,14481,13104,14467,12137,11030,10010,14105,13308,13041,14469,10922,14429,13103,13320,12524,11105,12063,10310,10956,12134,12150,12073,14845,14541,14808,12980,11707,12723,13840,14817,12416,12824,12823,14450,10510,14066,14561
